condition,group_id,miou_zero_minus_full,mean_margin_zero_minus_full,identity0_margin_delta,identity1_margin_delta,cmsa_full,cmsa_zero
clean,cf_10bc8409db783c0b,-0.47659249911671075,-0.9538415786748986,-1.8782224444489968,-0.029460712900800767,True,False
clean,cf_598f6f7142e805f5,-0.5224932890820375,-0.9434268503208804,-0.7523571525134272,-1.1344965481283338,True,False
clean,acceptedpair_17ff3a8081b79a20,-0.4890352089678277,-0.9488006577725188,-1.8837348426604563,-0.013866472884581094,True,False
clean,acceptedpair_44aeb1233b6d0930,-0.5503634782979596,-0.8895012870330121,-1.6327794016916428,-0.14622317237438132,True,False
clean,cf_4a446f5d1cf8fca4,-0.5148708373948838,-0.9085152691154678,-0.053940497549741506,-1.763090040681194,True,False
target15_b,cf_778571dc8020b5df,-0.4663974461730283,-0.8712799686640755,-0.013218052396107738,-1.7293418849320432,True,False
target15_b,acceptedpair_18803244d947e2f7,0.0,0.09961814914645103,0.0,0.19923629829290207,False,False
target15_b,cf_56a9b1ea716e19d3,-0.13732668243094892,-0.6142837531380196,-1.2384526481748703,0.009885141898831273,False,False
target15_b,cf_f6120ac9bd438a95,-0.7010146304191938,-0.7382047130638218,-0.49867462825052794,-0.9777347978771156,True,False
target15_b,acceptedpair_8809b4676725c499,-0.49046868587646075,-0.8029311108204011,-1.3451689316172015,-0.26069329002360064,True,False
target15_b,cf_b0d459c99cdff5e6,-0.3902339480356835,-0.8361653535501421,-1.6444293933827336,-0.02790131371755078,True,False
target15_b,acceptedpair_b914b3d4a14a9083,-0.6955915140092399,-0.6955915140092399,-0.4611510791366906,-0.9300319488817891,False,False
target15_b,cf_e0f5ae2d424569c9,-0.2868796657991572,-0.7377982536954109,0.008597238420192665,-1.4841937458110142,True,False
target15_b,cf_4fbcb91b5cbb9181,-0.16406772486714466,-0.5578144127314796,-0.3281354497342893,-0.7874933757286698,False,False
target15_b,cf_7bda1a50e0ec27ba,-0.3787661498889553,-0.8201317919501325,-0.0022662478364504635,-1.6379973360638145,True,False
target15_b,acceptedpair_8971bf1ad1c9a9cc,-0.5340224326770245,-0.8267556046702862,-1.469148804595207,-0.18436240474536525,True,False
target15_b,acceptedpair_2a1ba9e169a854d9,-0.14795509222133119,-0.14795509222133119,-0.29591018444266237,0.0,False,False
target15_b,acceptedpair_5b51488e49b46f60,0.001838573772211638,-0.4790057771893268,0.003677147544423276,-0.9616887019230769,False,False
target15_b,cf_ef28727ca9fdc521,-0.4315883025768008,-0.7191149026750165,-1.4111224474975628,-0.027107357852470315,True,False
target15_b,cf_a3bb77c2403a5b68,-0.0007425798871685818,-0.4630356852253249,-0.0014851597743371636,-0.9245862106763126,False,False
target15_b,cf_418a3cd9712751b3,-0.3794426765144516,-0.39477674004128627,-0.6525781302415177,-0.13697534984105478,False,False
target15_b,acceptedpair_9d5b0fa45b1a8ff9,-0.4810366983511928,-0.9435966393323805,-1.8563368131793068,-0.030856465485454287,True,False
target15_b,acceptedpair_a3e566dd54fb7f38,-0.8680880116715508,-0.89765475640223,-0.9377882131388976,-0.8575212996655625,True,False
target15_b,cf_7742007ec8b76d62,-0.4526689200910885,-0.869577132651475,-1.7318182145630634,-0.007336050739886524,True,False
target15_b,cf_a7cf884bd45defa4,-0.402788178634344,-0.7982835322333359,-0.07608416976868815,-1.520482894697984,True,False
target15_b,acceptedpair_e92c4f4a3b9d9d20,-0.0028090750635137995,-0.47341620644803034,-0.9412142627690331,-0.005618150127027599,False,False
target15_b,acceptedpair_ef9f814da6e89020,-0.3249105730212511,-0.7421007063137285,-1.4864163871024507,0.002214974474993525,True,False
target15_b,cf_e066f87c2c13ab94,-0.3994456067450839,-0.6033090726115505,-0.40772693173293323,-0.7988912134901678,False,False
target15_b,cf_b07b21c7f04f565f,3.298247494210038e-05,-0.4761045189156464,-0.952275002781177,6.596494988420076e-05,False,False
target15_b,acceptedpair_b6b4ada68df19e6d,-0.33198241199138606,-0.5051801844330148,-0.9712462414027694,-0.03911412746326037,True,False
target15_b,acceptedpair_e664875a29c6ca1e,0.007607363057454686,-0.009050845299903298,0.015214726114909372,-0.03331641671471597,False,False
target15_b,acceptedpair_1faeba6a71c40b2f,-0.36707170414865825,0.006503034303142766,0.747149476903602,-0.7341434082973165,False,False
target15_b,acceptedpair_6b2f4de6e6befefc,-0.32133487582786413,-0.06017831159928963,-0.6426697516557283,0.522313128457149,False,False
